,location_id,total,name,year,location_name
356,2,77015,Brasil,2007,Rural
357,2,75785,Brasil,2008,Rural
358,2,73535,Brasil,2009,Rural
359,2,70680,Brasil,2010,Rural
360,2,59328,Brasil,2015,Rural
361,2,58013,Brasil,2016,Rural
362,2,56008,Brasil,2017,Rural
363,2,53217,Brasil,2018,Rural
364,2,51807,Brasil,2019,Rural
365,1,74846,Brasil,2007,Urbana
366,1,75635,Brasil,2008,Urbana
367,1,76539,Brasil,2009,Urbana
368,1,77413,Brasil,2010,Urbana
369,1,81170,Brasil,2015,Urbana
370,1,82032,Brasil,2016,Urbana
371,1,82769,Brasil,2017,Urbana
372,1,82896,Brasil,2018,Urbana
373,1,83570,Brasil,2019,Urbana
374,2,77015,Brasil,2007,Rural
375,2,75785,Brasil,2008,Rural
376,2,73535,Brasil,2009,Rural
377,2,70680,Brasil,2010,Rural
378,2,59328,Brasil,2015,Rural
379,2,58013,Brasil,2016,Rural
380,2,56008,Brasil,2017,Rural
381,2,53217,Brasil,2018,Rural
382,2,51807,Brasil,2019,Rural
383,1,74846,Brasil,2007,Urbana
384,1,75635,Brasil,2008,Urbana
385,1,76539,Brasil,2009,Urbana
386,1,77413,Brasil,2010,Urbana
387,1,81170,Brasil,2015,Urbana
388,1,82032,Brasil,2016,Urbana
389,1,82769,Brasil,2017,Urbana
390,1,82896,Brasil,2018,Urbana
391,1,83570,Brasil,2019,Urbana
392,2,77015,Brasil,2007,Rural
393,2,75785,Brasil,2008,Rural
394,2,73535,Brasil,2009,Rural
395,2,70680,Brasil,2010,Rural
396,2,59328,Brasil,2015,Rural
397,2,58013,Brasil,2016,Rural
398,2,56008,Brasil,2017,Rural
399,2,53217,Brasil,2018,Rural
400,2,51807,Brasil,2019,Rural
401,1,74846,Brasil,2007,Urbana
402,1,75635,Brasil,2008,Urbana
403,1,76539,Brasil,2009,Urbana
404,1,77413,Brasil,2010,Urbana
405,1,81170,Brasil,2015,Urbana
406,1,82032,Brasil,2016,Urbana
407,1,82769,Brasil,2017,Urbana
408,1,82896,Brasil,2018,Urbana
409,1,83570,Brasil,2019,Urbana
410,2,77015,Brasil,2007,Rural
411,2,75785,Brasil,2008,Rural
412,2,73535,Brasil,2009,Rural
413,2,70680,Brasil,2010,Rural
414,2,59328,Brasil,2015,Rural
415,2,58013,Brasil,2016,Rural
416,2,56008,Brasil,2017,Rural
417,2,53217,Brasil,2018,Rural
418,2,51807,Brasil,2019,Rural
419,1,74846,Brasil,2007,Urbana
420,1,75635,Brasil,2008,Urbana
421,1,76539,Brasil,2009,Urbana
422,1,77413,Brasil,2010,Urbana
423,1,81170,Brasil,2015,Urbana
424,1,82032,Brasil,2016,Urbana
425,1,82769,Brasil,2017,Urbana
426,1,82896,Brasil,2018,Urbana
427,1,83570,Brasil,2019,Urbana
428,2,77015,Brasil,2007,Rural
429,2,75785,Brasil,2008,Rural
430,2,73535,Brasil,2009,Rural
431,2,70680,Brasil,2010,Rural
432,2,59328,Brasil,2015,Rural
433,2,58013,Brasil,2016,Rural
434,2,56008,Brasil,2017,Rural
435,2,53217,Brasil,2018,Rural
436,2,51807,Brasil,2019,Rural
