,total,year,adm_dependency_detailed_id,school_year_id,adm_dependency_detailed_name,school_year_name
325,19096,2009,4,11.0,Privada conveniada sem fins lucrativos,Creche - Menor de 1 ano
326,58262,2009,4,12.0,Privada conveniada sem fins lucrativos,Creche - 1 ano
327,114481,2009,4,13.0,Privada conveniada sem fins lucrativos,Creche - 2 anos
328,144090,2009,4,14.0,Privada conveniada sem fins lucrativos,Creche - 3 anos
329,122259,2009,4,21.0,Privada conveniada sem fins lucrativos,Pré-escola - 4 anos
330,95586,2009,4,22.0,Privada conveniada sem fins lucrativos,Pré-escola - 5 anos
331,66936,2009,4,31.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 1º Ano
332,84352,2009,4,32.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 1ª série/2º ano
333,42295,2009,4,33.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 2ª série/3º ano
334,42295,2009,4,34.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 3ª série/4º ano
335,41970,2009,4,35.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 4ª série/5º Ano
336,38179,2009,4,41.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 5ª série/6º ano
337,37427,2009,4,42.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 6ª série/7º ano
338,36411,2009,4,43.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 7ª série/8º ano
339,35309,2009,4,44.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 8ª serie/9º ano
340,31376,2009,4,51.0,Privada conveniada sem fins lucrativos,Ens. Médio - 1ª série
341,27394,2009,4,52.0,Privada conveniada sem fins lucrativos,Ens. Médio - 2ª série
342,24143,2009,4,53.0,Privada conveniada sem fins lucrativos,Ens. Médio - 3ª série
343,1163,2009,4,54.0,Privada conveniada sem fins lucrativos,Ens. Médio - 4ª série
344,32880,2009,4,61.0,Privada conveniada sem fins lucrativos,EJA - anos iniciais do Ens. Fundamental
345,3609,2009,4,62.0,Privada conveniada sem fins lucrativos,EJA - anos finais do Ens. Fundamental
346,4084,2009,4,63.0,Privada conveniada sem fins lucrativos,EJA - Ensino Médio
347,26683,2009,4,71.0,Privada conveniada sem fins lucrativos,Educação Profissional
348,3203,2009,5,11.0,Privada conveniada com fins lucrativos,Creche - Menor de 1 ano
349,10749,2009,5,12.0,Privada conveniada com fins lucrativos,Creche - 1 ano
350,22386,2009,5,13.0,Privada conveniada com fins lucrativos,Creche - 2 anos
351,29331,2009,5,14.0,Privada conveniada com fins lucrativos,Creche - 3 anos
