,total,year,school_year_id,location_id,school_year_name,location_name
207,617202,2011,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
208,3422118,2011,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
209,490519,2011,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
210,3291063,2011,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
211,426291,2011,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
212,2955369,2011,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
213,351469,2011,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
214,2771342,2011,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
215,295385,2011,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
216,3346515,2011,51.0,1,Ens. Médio - 1ª série,Urbana
217,134561,2011,51.0,2,Ens. Médio - 1ª série,Rural
218,2536511,2011,52.0,1,Ens. Médio - 2ª série,Urbana
219,98394,2011,52.0,2,Ens. Médio - 2ª série,Rural
220,2133749,2011,53.0,1,Ens. Médio - 3ª série,Urbana
221,80039,2011,53.0,2,Ens. Médio - 3ª série,Rural
222,69991,2011,54.0,1,Ens. Médio - 4ª série,Urbana
223,2069,2011,54.0,2,Ens. Médio - 4ª série,Rural
224,696495,2011,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
225,296970,2011,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
226,1550315,2011,62.0,1,EJA - anos finais do Ens. Fundamental,Urbana
227,174180,2011,62.0,2,EJA - anos finais do Ens. Fundamental,Rural
228,1335807,2011,63.0,1,EJA - Ensino Médio,Urbana
229,28761,2011,63.0,2,EJA - Ensino Médio,Rural
230,959541,2011,71.0,1,Educação Profissional,Urbana
231,34443,2011,71.0,2,Educação Profissional,Rural
232,136969,2012,11.0,1,Creche - Menor de 1 ano,Urbana
233,3279,2012,11.0,2,Creche - Menor de 1 ano,Rural
234,406632,2012,12.0,1,Creche - 1 ano,Urbana
235,11418,2012,12.0,2,Creche - 1 ano,Rural
236,815437,2012,13.0,1,Creche - 2 anos,Urbana
237,43009,2012,13.0,2,Creche - 2 anos,Rural
238,1347905,2012,14.0,1,Creche - 3 anos,Urbana
239,143154,2012,14.0,2,Creche - 3 anos,Rural
240,1876516,2012,21.0,1,Pré-escola - 4 anos,Urbana
241,310867,2012,21.0,2,Pré-escola - 4 anos,Rural
242,2186609,2012,22.0,1,Pré-escola - 5 anos,Urbana
243,391096,2012,22.0,2,Pré-escola - 5 anos,Rural
244,2124282,2012,31.0,1,Ens. Fundamental - 1º Ano,Urbana
245,439839,2012,31.0,2,Ens. Fundamental - 1º Ano,Rural
246,2610119,2012,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
247,549753,2012,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
248,2825650,2012,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
249,627504,2012,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
250,2611157,2012,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
251,599510,2012,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
252,2793087,2012,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
253,595406,2012,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
254,3292495,2012,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
255,479090,2012,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
256,3110785,2012,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
257,406290,2012,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
258,2982161,2012,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
259,352982,2012,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
260,2771141,2012,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
261,296764,2012,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
262,3336695,2012,51.0,1,Ens. Médio - 1ª série,Urbana
263,137299,2012,51.0,2,Ens. Médio - 1ª série,Rural
264,2511119,2012,52.0,1,Ens. Médio - 2ª série,Urbana
265,100297,2012,52.0,2,Ens. Médio - 2ª série,Rural
266,2143164,2012,53.0,1,Ens. Médio - 3ª série,Urbana
267,82767,2012,53.0,2,Ens. Médio - 3ª série,Rural
268,64370,2012,54.0,1,Ens. Médio - 4ª série,Urbana
269,2117,2012,54.0,2,Ens. Médio - 4ª série,Rural
270,714769,2012,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
271,279384,2012,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
272,1456971,2012,62.0,1,EJA - anos finais do Ens. Fundamental,Urbana
273,164585,2012,62.0,2,EJA - anos finais do Ens. Fundamental,Rural
274,1318389,2012,63.0,1,EJA - Ensino Médio,Urbana
275,27826,2012,63.0,2,EJA - Ensino Médio,Rural
276,1029799,2012,71.0,1,Educação Profissional,Urbana
277,34593,2012,71.0,2,Educação Profissional,Rural
278,3301593,2013,,1,Não classificada,Urbana
279,485202,2013,,2,Não classificada,Rural
280,148944,2013,11.0,1,Creche - Menor de 1 ano,Urbana
281,3808,2013,11.0,2,Creche - Menor de 1 ano,Rural
282,449697,2013,12.0,1,Creche - 1 ano,Urbana
283,14445,2013,12.0,2,Creche - 1 ano,Rural
284,883729,2013,13.0,1,Creche - 2 anos,Urbana
285,48705,2013,13.0,2,Creche - 2 anos,Rural
286,1403763,2013,14.0,1,Creche - 3 anos,Urbana
287,147072,2013,14.0,2,Creche - 3 anos,Rural
288,1975831,2013,21.0,1,Pré-escola - 4 anos,Urbana
289,320918,2013,21.0,2,Pré-escola - 4 anos,Rural
290,1829518,2013,22.0,1,Pré-escola - 5 anos,Urbana
291,324544,2013,22.0,2,Pré-escola - 5 anos,Rural
292,2893643,2013,31.0,1,Ens. Fundamental - 1º Ano,Urbana
293,547422,2013,31.0,2,Ens. Fundamental - 1º Ano,Rural
294,2186097,2013,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
295,461734,2013,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
296,2791913,2013,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
297,593901,2013,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
298,2705907,2013,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
299,580772,2013,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
300,2612861,2013,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
301,559874,2013,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
302,3179462,2013,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
303,470980,2013,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
304,3002729,2013,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
305,404776,2013,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
306,2823852,2013,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
307,341105,2013,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
308,2783836,2013,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
309,303353,2013,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
310,3276634,2013,51.0,1,Ens. Médio - 1ª série,Urbana
311,140875,2013,51.0,2,Ens. Médio - 1ª série,Rural
312,2515320,2013,52.0,1,Ens. Médio - 2ª série,Urbana
313,102759,2013,52.0,2,Ens. Médio - 2ª série,Rural
314,2128634,2013,53.0,1,Ens. Médio - 3ª série,Urbana
315,84519,2013,53.0,2,Ens. Médio - 3ª série,Rural
316,63257,2013,54.0,1,Ens. Médio - 4ª série,Urbana
317,2046,2013,54.0,2,Ens. Médio - 4ª série,Rural
318,42880,2013,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
319,526,2013,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
320,1071807,2013,71.0,1,Educação Profissional,Urbana
321,31205,2013,71.0,2,Educação Profissional,Rural
322,3138605,2014,,1,Não classificada,Urbana
323,465930,2014,,2,Não classificada,Rural
324,162058,2014,11.0,1,Creche - Menor de 1 ano,Urbana
325,3930,2014,11.0,2,Creche - Menor de 1 ano,Rural
326,490721,2014,12.0,1,Creche - 1 ano,Urbana
327,15165,2014,12.0,2,Creche - 1 ano,Rural
328,955120,2014,13.0,1,Creche - 2 anos,Urbana
329,55069,2014,13.0,2,Creche - 2 anos,Rural
330,1474177,2014,14.0,1,Creche - 3 anos,Urbana
331,156298,2014,14.0,2,Creche - 3 anos,Rural
332,2000417,2014,21.0,1,Pré-escola - 4 anos,Urbana
333,317108,2014,21.0,2,Pré-escola - 4 anos,Rural
334,1899431,2014,22.0,1,Pré-escola - 5 anos,Urbana
335,327429,2014,22.0,2,Pré-escola - 5 anos,Rural
336,2804580,2014,31.0,1,Ens. Fundamental - 1º Ano,Urbana
337,518651,2014,31.0,2,Ens. Fundamental - 1º Ano,Rural
